mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.0021713674068450928,0.001935034990310669,0.98,0.9899903836282324,100,{'C': 100},1,1.0,0.9883720930232558,1.0,0.9883720930232558,1.0,0.9885057471264368,0.9166666666666666,1.0,0.9166666666666666,1.0,1.0,0.9772727272727273,1.0,0.9886363636363636,1.0,0.9887640449438202,0.0006445543868995323,0.0029394426382018403,0.03559026084010439,0.006827360161609651
0.0034152865409851074,0.0007904767990112305,0.98,1.0,1000,{'C': 1000},1,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0014867538415791347,0.0005559862221998135,0.03559026084010439,0.0
0.00434112548828125,0.0006974935531616211,0.96,0.9728283870393473,10,{'C': 10},3,1.0,0.9651162790697675,1.0,0.9651162790697675,1.0,0.9770114942528736,0.8333333333333334,0.9772727272727273,0.9166666666666666,0.9772727272727273,0.9166666666666666,0.9772727272727273,1.0,0.9772727272727273,1.0,0.9662921348314607,0.005702736070559513,0.0001605536274016783,0.058309518948453,0.005680920237888746
0.003314077854156494,0.002279311418533325,0.95,0.9556671370499277,1,{'C': 1},4,0.9285714285714286,0.9534883720930233,1.0,0.9418604651162791,1.0,0.9540229885057471,0.8333333333333334,0.9545454545454546,0.9166666666666666,0.9545454545454546,0.9166666666666666,0.9659090909090909,1.0,0.9659090909090909,1.0,0.9550561797752809,0.0017177509506149835,0.00244319503915595,0.05669467095138408,0.00716553627472981
0.003026723861694336,0.14560627937316895,0.87,0.8728818119905888,0.1,{'C': 0.1},5,0.9285714285714286,0.8953488372093024,0.9285714285714286,0.872093023255814,0.7692307692307693,0.8390804597701149,0.75,0.9090909090909091,0.9166666666666666,0.8636363636363636,0.9166666666666666,0.8863636363636364,0.9166666666666666,0.8522727272727273,0.8181818181818182,0.8651685393258427,0.0016045090207982672,0.14332947390171258,0.07133030203224984,0.021536267046555535
