mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_net__lr,param_net__max_epochs,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.15303077697753906,0.0023508071899414062,0.97,0.9800000000000001,0.5,50,"{'net__lr': 0.5, 'net__max_epochs': 50}",1,1.0,0.975,0.95,0.9875,0.95,0.9875,0.95,0.9875,1.0,0.9625,0.003589107926311239,0.0016676109891415355,0.024494897427831803,0.010000000000000014
0.1553056240081787,0.0018157958984375,0.97,0.9825000000000002,0.9,50,"{'net__lr': 0.9, 'net__max_epochs': 50}",1,1.0,0.9875,1.0,0.975,0.9,0.9875,0.95,0.975,1.0,0.9875,0.0028636064269489717,0.0004951457167219611,0.04,0.0061237243569579785
0.21538920402526857,0.0014713764190673827,0.96,0.9825000000000002,0.7,70,"{'net__lr': 0.7, 'net__max_epochs': 70}",3,1.0,0.9875,0.95,0.9875,0.9,0.9875,0.95,0.9875,1.0,0.9625,0.0025279247967283144,0.00023247372012453153,0.03741657386773941,0.010000000000000009
0.21687860488891603,0.001972341537475586,0.96,0.9875,0.9,70,"{'net__lr': 0.9, 'net__max_epochs': 70}",3,0.95,0.975,1.0,0.9875,0.9,1.0,0.95,1.0,1.0,0.975,0.005962160131350568,0.0005741534542838784,0.03741657386773941,0.011180339887498959
0.21121582984924317,0.0014729499816894531,0.95,0.9825000000000002,0.5,70,"{'net__lr': 0.5, 'net__max_epochs': 70}",5,1.0,0.975,0.9,0.9875,0.9,0.9875,0.95,1.0,1.0,0.9625,0.002317864395693478,0.0001855838335514733,0.04472135954999579,0.012747548783981965
0.16251788139343262,0.0018536567687988282,0.95,0.985,0.7,50,"{'net__lr': 0.7, 'net__max_epochs': 50}",5,1.0,0.9875,0.9,0.9875,0.9,0.9875,0.95,0.9875,1.0,0.975,0.003481454100150909,0.0006430654166458125,0.04472135954999579,0.005000000000000026
